Source_Party_ID,Source_System,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Country,City,Postal_Code,Create_Date,Update_date,Source_Address_ID,Reject_Reason
7070909814,PILSDL,5,Œ„´‰ˇÁ¨ˆØ∏”’,,,UI,Gotse Delchev,2971,2/27/2021,2/21/2021,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters."
6560604464,PILSDL,4,,,,UI,Cinyumput,,3/16/2022,6/4/2020,2,Address_Line_1 cannot be empty. Postal_Code cannot be empty.
7455479843,PILSDL,6,,,5282 Old Gate Circle,KC,Portalegre,,2/15/2022,8/15/2021,6,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Postal_Code cannot be empty."
1392434831,PILSDL,4,,,879 Hovde Pass,,Bama,,1/28/2021,2/20/2022,1,Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty.
8726113448,PILSDL,8,⁰⁴⁵₀₁₂,,9373 Garrison Junction,BC,Greenville,,2/11/2022,6/22/2021,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. Postal_Code cannot be empty."
2494341378,PILSDL,2,,,69031 Judy Trail,IN,Sieniawa,37-530,5/20/2021,5/11/2022,5,Address_Line_1 cannot be empty.
5181940237,PILSDL,5,울란바토르,,,IN,Toba Tek Singh,,4/22/2021,1/12/2021,8,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. Postal_Code cannot be empty."
1933824317,PILSDL,4,",./;'[]\-=",",'';';';';',---,0__+1",33 Carpenter Pass,,Gandra,,10/6/2021,4/28/2022,8,Address_Line_1 cannot be only special characters. Country must be a valid ISO 2 country code. Postal_Code cannot be empty.
5753161049,PILSDL,,!@#$%^&*(),,46987 Kennedy Pass,MAKICHU,Ngromo,,9/5/2021,10/13/2020,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
1120198048,PILSDL,8,,,,,Dongfu,,12/16/2021,8/29/2021,1,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
6680901753,PILSDL,8,,,761 Swallow Avenue,BC,Kufa,,4/25/2022,6/3/2022,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Postal_Code cannot be empty."
7016304569,PILSDL,4,,,3 Farwell Plaza,,,87-522,10/24/2020,9/29/2019,8,Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. City cannot be empty.
531291066,PILSDL,,,,19 Elmside Plaza,MAKICHU,Plalar,,7/21/2021,4/5/2020,1,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
4030162676,PILSDL,2,"""",,,1234,,,11/2/2020,10/1/2020,8,Address_Line_1 cannot be only special characters. Country must be a valid ISO 2 country code. City cannot be empty. Postal_Code cannot be empty.
5240585515,PILSDL,3,-1.00,,,DD,Fengyan,,2/21/2021,10/11/2022,6,Postal_Code cannot be empty.
3234271296,PILSDL,1,1,,8 Schiller Lane,BE,Thị Trấn Mường Khến,,3/1/2021,10/21/2022,8,Postal_Code cannot be empty.
1871167668,PILSDL,1,,,5 Brown Pass,BC,Gupakan,,11/11/2020,10/26/2019,6,Address_Line_1 cannot be empty. Postal_Code cannot be empty.
2367227402,PILSDL,7,,,,MAKICHU,Junyang,,2/28/2021,7/14/2022,5,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
1741714404,PILSDL,5, ,,,UI,,,4/3/2021,6/24/2021,6,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. City cannot be empty. Postal_Code cannot be empty."
857765947,PILSDL,4,0/0,,,KC,Uście Gorlickie,,12/9/2021,5/5/2022,6,Postal_Code cannot be empty.
9305611133,PILSDL,6,00˙Ɩ$-,,,MC,,18190,7/8/2021,8/31/2021,8,"Address_Type must be among 1,2,3,4. City cannot be empty."
9021014093,PILSDL,4,,,,MC,Bongued,5605,10/30/2020,8/17/2022,8,Address_Line_1 cannot be empty.
9281348329,PILSDL,5,1'; DROP TABLE users--,,,1234,Ilesa,,12/27/2020,6/24/2020,5,"Address_Type must be among 1,2,3,4. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
9539534968,PILSDL,5,-1E02,,980 Mcbride Hill,,Jurovski Dol,,3/12/2021,1/5/2020,5,"Address_Type must be among 1,2,3,4. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
1048217430,PILSDL,,,,42 Melrose Road,MC,Pelaya,,11/2/2020,10/8/2020,1,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Postal_Code cannot be empty."
4414512521,PILSDL,5,,,,BE,Shūkat aş Şūfī,,3/4/2022,4/18/2021,5,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Postal_Code cannot be empty."
6146276775,PILSDL,5,,,8443 Vermont Crossing,OI,,,5/8/2021,9/27/2022,6,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. City cannot be empty. Postal_Code cannot be empty."
5603911352,PILSDL,8,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },",'';';';';',---,0__+1",06 Heffernan Center,BC,,,12/26/2020,10/11/2022,44444444,"Address_Type must be among 1,2,3,4. City cannot be empty. Postal_Code cannot be empty."
6846194754,PILSDL,4,,,,IN,São Fidélis,,3/2/2021,2/20/2021,5,Address_Line_1 cannot be empty. Postal_Code cannot be empty.
1629493861,PILSDL,1,,,4 Bultman Park,,,,7/28/2021,8/2/2022,2,Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. City cannot be empty. Postal_Code cannot be empty.
7957032626,PILSDL,4,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",,,NL,Looc,5507,2/11/2022,5/20/2020,1,Address_Line_1 cannot be only special characters. Postal_Code must be in format 1234LL for NL.
8422172810,PILSDL,7,ÅÍÎÏ˝ÓÔÒÚÆ☃,,,KC,Sadowie,27-580,6/22/2021,1/15/2022,5,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters."
6793735275,PILSDL,7,<script>alert('hi')</script>,,,US,Aībak,,2/19/2022,12/8/2021,6,"Address_Type must be among 1,2,3,4. Postal_Code cannot be empty."
4949902743,PILSDL,,,,6 Brentwood Place,IE,,,11/17/2020,10/15/2020,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. City cannot be empty. Postal_Code cannot be empty."
8614799844,PILSDL,4,,,,,Novoselec,10315,1/11/2021,3/29/2021,2,Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code.
793756420,PILSDL,4,,,,,Sorren Daya,,1/27/2021,5/30/2022,2,Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty.
7040967916,PILSDL,3,,,,IN,Villefranche-sur-Mer,06239 CEDEX,3/22/2022,10/13/2022,8,Address_Line_1 cannot be empty.
5671241379,PILSDL,2,"""'""'""''''""","SSS,SSV,IKL,VZW,IVZW,CCA,IKR,BV,1111111111111,22222222222222,.,`````~~~~~~~,_______",,AU,Nusajaya,,1/30/2021,11/20/2019,44444444,Address_Line_1 cannot be only special characters. Address_Line_2 cannot have more than 30 characters. Postal_Code cannot be empty.
2982140164,PILSDL,5,<img src=x onerror=alert('hi') />,,,DD,Nuing,,6/8/2021,1/13/2020,6,"Address_Type must be among 1,2,3,4. Postal_Code cannot be empty."
2583351927,PILSDL,6,🐵 🙈 🙉 🙊,,71 Birchwood Center,IE,Cililitan,,11/17/2020,6/5/2021,8,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. Postal_Code cannot be empty."
3370544972,PILSDL,6,-1E02,,,IN,Argivai,,3/22/2021,9/24/2021,1,"Address_Type must be among 1,2,3,4. Postal_Code cannot be empty."
8357314114,PILSDL,8,(｡◕ ∀ ◕｡),,,,Fuding,,3/22/2022,4/27/2021,44444444,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be only special characters. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
4378428794,PILSDL,4,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,,,DDDDDDD,Quinta,,11/23/2020,3/17/2021,1,Address_Line_1 cannot be only special characters. Country must be a valid ISO 2 country code. Postal_Code cannot be empty.
7792961930,PILSDL,6,,,,BE,,,3/30/2021,6/27/2020,1,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. City cannot be empty. Postal_Code cannot be empty."
5267657964,PILSDL,7,,,,,Banjar Dukuh,,2/28/2022,2/6/2022,2,"Address_Type must be among 1,2,3,4. Address_Line_1 cannot be empty. Country must be a valid ISO 2 country code. Postal_Code cannot be empty."
7398038978,PILSDL,3,,",'';';';';',---,0__+1",3849 American Terrace,BC,,,6/29/2021,9/26/2020,8,Address_Line_1 cannot be empty. City cannot be empty. Postal_Code cannot be empty.
